,time,engaged,part_of_team,,,,participantnumber,english,vision,colour,age,gender,games
config_exp_1_empshown,20,4,4,,,0,1007,No,Yes,No,26,Male,0
config_exp_9_empshown,5,5,4,,,,,,,,,,
config_exp_2_empshown,4,5,5,,,,,,,,,,
config_exp_8_empshown,2,5,6,,,,,,,,,,
config_exp_3_empshown,5,5,6,,,,,,,,,,
config_exp_5_empshown,3,5,6,,,,,,,,,,
config_exp_11_empshown,2,4,5,,,,,,,,,,
config_exp_6_empshown,1,2,2,,,,,,,,,,
config_exp_7_empshown,5,1,2,,,,,,,,,,
config_exp_12_empshown,5,6,5,,,,,,,,,,
config_exp_10_empshown,1,5,5,,,,,,,,,,
config_exp_4_empshown,1,4,4,,,,,,,,,,
config_exp_12,5,6,6,,,,,,,,,,
config_exp_10,5,2,2,,,,,,,,,,
config_exp_8,5,1,2,,,,,,,,,,
config_exp_11,10,1,1,,,,,,,,,,
config_exp_3,3,5,5,,,,,,,,,,
config_exp_7,6,2,2,,,,,,,,,,
config_exp_4,1,4,4,,,,,,,,,,
config_exp_5,10,4,4,,,,,,,,,,
config_exp_6,5,4,4,,,,,,,,,,
config_exp_9,3,4,4,,,,,,,,,,
config_exp_1,5,4,4,,,,,,,,,,
config_exp_2,5,2,2,,,,,,,,,,